Timestamp,Air quality,Atmospheric pressure,Lux,Co2,Co2e,Comfort,Electrosmog,Electrosmog hf,Electrosmog lf,Humidity,Iaq,Pm10,Pm25,Sound,Temperature,Tvoc,Wifi level,Wifi number,class name,Date ,Duration,start,end,minimum,maximum,people,room surface area ,room height,Windows,no of win,door ,no of door
10/12/2020 00:04,100,1001.6,0,308,1540,100,100,1.4,157,51.9,72.6,4,3,33.3,20.5,199,-63,6,,,,,,,,,,,,,,
10/12/2020 00:09,100,1001.7,0,309,1522,100,100,1.3,153,51.9,74,3,2,29.8,20.4,186,-62,7,,,,,,,,,,,,,,
10/12/2020 00:14,100,1001.6,0,306,1537,100,100,1.4,154,51.9,72.8,5,4,29.3,20.4,197,-62,9,,,,,,,,,,,,,,
10/12/2020 00:19,100,1001.6,0,307,1521,100,100,1.4,195,51.8,73.4,5,4,30.7,20.4,186,-63,5,,,,,,,,,,,,,,
10/12/2020 00:24,100,1001.6,0,306,1503,100,100,1.4,165,51.9,72.4,5,4,32.5,20.4,174,-63,7,,,,,,,,,,,,,,
10/12/2020 00:29,100,1001.6,0,312,1495,100,100,1.4,153,51.8,72,4,3,30.4,20.4,166,-62,4,,,,,,,,,,,,,,
10/12/2020 00:34,100,1001.6,0,308,1470,100,100,1.3,161,51.8,69.6,4,3,30.1,20.4,163,-62,4,,,,,,,,,,,,,,
10/12/2020 00:39,100,1001.6,0,317,1465,100,100,1.4,214,51.8,71.2,6,5,32.3,20.4,162,-62,5,,,,,,,,,,,,,,
10/12/2020 00:44,100,1001.6,0,316,1380,100,100,1.3,156,51.8,68.1,5,4,39.8,20.3,149,-63,8,,,,,,,,,,,,,,
10/12/2020 00:49,100,1001.7,0,304,1408,100,100,1.3,156,51.7,65.8,3,2,44.2,20.4,153,-64,7,,,,,,,,,,,,,,
10/12/2020 00:54,100,1001.6,0,311,1367,100,100,1.4,163,51.7,67.8,4,3,42.7,20.4,147,-62,7,,,,,,,,,,,,,,
10/12/2020 00:59,100,1001.8,0,315,1310,100,100,1.4,158,51.7,63.2,4,3,43.7,20.4,138,-62,6,,,,,,,,,,,,,,
10/12/2020 01:04,100,1001.7,0,301,1212,100,100,1.3,151,51.7,63.4,4,3,45,20.3,123,-63,6,,,,,,,,,,,,,,
10/12/2020 01:09,100,1001.7,0,301,1220,100,100,1.4,164,51.6,61.7,5,4,44.6,20.3,124,-63,7,,,,,,,,,,,,,,
10/12/2020 01:14,100,1001.7,0,310,1168,100,100,1.4,155,51.6,62.8,4,3,41.6,20.3,117,-63,6,,,,,,,,,,,,,,
10/12/2020 01:19,100,1001.7,0,314,1118,100,100,1.4,150,51.7,60.8,4,3,41.7,20.3,109,-62,7,,,,,,,,,,,,,,
